# fingerprint=e86680d6d5c586ba modCount=589 capturedUtc=2026-09-04T02:23:44Z
defName,source_mod,fate,tab,tier,cost,prereqs,hidden_prereqs,source_gate,form,theology,merge_target,note,access,holder,stage_gate,live
AM_StandardMechtech,Alpha Mechs,cut,,,500,StandardMechtech;AM_WorkerStandardMechtech,,,,,,"owner frozen deck 2026-09-04: ALL mechanoid research out of research potential, mechanitors too. | no specific sitting ruling found for this row; tab defaulted from tier band (T0 -> Scavenger) per taxonomy sec 2's tier/tab correspondence",,,,yes
AM_UltraHeavyMechtech,Alpha Mechs,cut,,,2500,UltraMechtech;AM_HeavyMechtech,,,,,,"owner frozen deck 2026-09-04: ALL mechanoid research out of research potential, mechanitors too. | no specific sitting ruling found for this row; tab defaulted from tier band (T4 -> The Reach) per taxonomy sec 2's tier/tab correspondence | cost 2500 does not fit T4's band on the live baseCost - real mod pricing, not vanilla-like; a future cost-patch pass would need to land it in-band, not something this manifest can fix by picking a different tier label",,,,yes
AM_VoidLinkConnectivity,Alpha Mechs,untouched,The Unbolting,T3,3200,AM_MechanoidBeamcasting,,,,ohm,,"G6 fold: The Waking Mind merged into The Unbolting (minds you make); access stays common - mixed classes are the feature | recost 500->3200 (band conformance, T3) | no specific sitting ruling found for this row; tab defaulted from tier band (T4 -> The Reach) per taxonomy sec 2's tier/tab correspondence | cost 500 does not fit T4's band on the live baseCost - real mod pricing, not vanilla-like; a future cost-patch pass would need to land it in-band, not something this manifest can fix by picking a different tier label",common,,,yes
AM_WorkerStandardMechtech,Alpha Mechs,cut,,,100,BasicMechtech,,,,,,"owner frozen deck 2026-09-04: ALL mechanoid research out of research potential, mechanitors too. | no specific sitting ruling found for this row; tab defaulted from tier band (T0 -> Scavenger) per taxonomy sec 2's tier/tab correspondence",,,,yes
AdvShipParts,GravTech,untouched,The Utinni,T4,5200,GravTuning,,,,ohm,,"Tenancy thread (G6/deep-dive): re-described in the house-for-minds canon; cross-reveals with Unbolting tiers | recost 2000->5200 (band conformance, T4) | Ship tree: grav industrial/ship row, explicitly named | cost 2000 does not fit T4's band on the live baseCost - real mod pricing, not vanilla-like; a future cost-patch pass would need to land it in-band, not something this manifest can fix by picking a different tier label",ship-only,,,yes
AdvancedFabrication,Core,untouched,The Workshop,T3,4000,Fabrication;MultiAnalyzer,,,,rekko,,no specific sitting ruling found for this row; tab defaulted from tier band (T3 -> The Reach) per taxonomy sec 2's tier/tab correspondence,common,,,yes
AdvancedGravtech,Odyssey,untouched,The Utinni,T4,5200,StandardGravtech;AdvancedFabrication,,,,ohm,,"recost 2500->5200 (band conformance, T4) | Ship tree: Odyssey gravtech x3, explicitly named | cost 2500 does not fit T4's band on the live baseCost - real mod pricing, not vanilla-like; a future cost-patch pass would need to land it in-band, not something this manifest can fix by picking a different tier label",ship-only,,,yes
AdvancedPsychicRituals,Anomaly,cut,,,0,BasicPsychicRituals,,,,,,"v4 model fate4=cut (was untouched). | Anomaly row: untouched per migration rule 5 (playstyle-gated, exception content stays reachable) | techLevel 'Undefined' is a data smell (no valid tier mapping); tier picked by cost band only - EXPECT check-3 techLevel FAIL (vanilla data issue, not a manifest defect)",,,,yes
AdvancedShowers,Dubs Bad Hygiene Lite,untouched,The Hearth,T3,3200,RR_ElectricityBasics,,,,oomo,,"recost 800->3200 (band conformance, T3) | no specific sitting ruling found for this row; tab defaulted from tier band (T1 -> Trade & Craft) per taxonomy sec 2's tier/tab correspondence",common,,,yes
AdvancedToilets,Dubs Bad Hygiene Lite,untouched,The Hearth,T3,3200,RR_ElectricityBasics;VFET_Furniture,,,,oomo,,"recost 1500->3200 (band conformance, T3) | no specific sitting ruling found for this row; tab defaulted from tier band (T1 -> Trade & Craft) per taxonomy sec 2's tier/tab correspondence",common,,,yes
AirConditioning,Core,untouched,Jawa Scavenging,T1,700,RR_HeatingElements,,,,rekko,,"recost 500->700 (band conformance, T1) | no specific sitting ruling found for this row; tab defaulted from tier band (T0 -> Scavenger) per taxonomy sec 2's tier/tab correspondence",common,,,yes
Archogenetics,Biotech,untouched,The Ascendant Ladder,T3,3200,GeneProcessor;MultiAnalyzer,,,,ozzik,,"recost 2500->3200 (band conformance, T3) | no specific sitting ruling found for this row; tab defaulted from tier band (T4 -> The Reach) per taxonomy sec 2's tier/tab correspondence | cost 2500 does not fit T4's band on the live baseCost - real mod pricing, not vanilla-like; a future cost-patch pass would need to land it in-band, not something this manifest can fix by picking a different tier label",faction-held,Helix,,yes
ArtificialFloors,Rimefeller,untouched,The Refinery,T1,1000,SynthyleneProduction,,,,mobunloo,,no specific sitting ruling found for this row; tab defaulted from tier band (T1 -> Trade & Craft) per taxonomy sec 2's tier/tab correspondence,common,,,yes
ArtificialMetabolism,Royalty,cut,,,2000,Bionics,Prosthetics,,,,,"Royalty player-facing systems ruled dead (canon royalty.dead_ruled); live unlocks release to LOOT-ONLY by default (sitting_ruled), per-row re-home exceptions not decided here | cost 2000 does not fit T4's band on the live baseCost - real mod pricing, not vanilla-like; a future cost-patch pass would need to land it in-band, not something this manifest can fix by picking a different tier label",,,,yes
Asimov_WirelessCharging,Asimov,untouched,Jawa Scavenging,T3,5000,Fabrication,,,,rekko,,"recost 8000->5000 (band conformance, T3) | no specific sitting ruling found for this row; tab defaulted from tier band (T3 -> The Reach) per taxonomy sec 2's tier/tab correspondence | cost 8000 does not fit T3's band on the live baseCost - real mod pricing, not vanilla-like; a future cost-patch pass would need to land it in-band, not something this manifest can fix by picking a different tier label",common,,,yes
AtmosphericHeater,Anomaly,cut,,,0,BioferriteGenerator;RR_HeatingElements,,,,,,"v4 model fate4=cut (was untouched). | Anomaly row: untouched per migration rule 5 (playstyle-gated, exception content stays reachable) | techLevel 'Undefined' is a data smell (no valid tier mapping); tier picked by cost band only - EXPECT check-3 techLevel FAIL (vanilla data issue, not a manifest defect)",,,,yes
Autodoors,Core,untouched,Jawa Scavenging,T2,1700,Electricity,,,,rekko,,"recost 600->1700 (band conformance, T2) | no specific sitting ruling found for this row; tab defaulted from tier band (T0 -> Scavenger) per taxonomy sec 2's tier/tab correspondence",common,,,yes
BMT_AdvancedFungi,Biomes! Caverns,untouched,Jawa Scavenging,T2,1700,BMT_ResearchMushrooms,,,,rekko,,"recost 1200->1700 (band conformance, T2) | no specific sitting ruling found for this row; tab defaulted from tier band (T0 -> Scavenger) per taxonomy sec 2's tier/tab correspondence | cost 1200 does not fit T0's band on the live baseCost - real mod pricing, not vanilla-like; a future cost-patch pass would need to land it in-band, not something this manifest can fix by picking a different tier label",common,,,yes
BMT_CrystalIncubator,Biomes! Caverns,untouched,The Refinery,T1,1200,Hydroponics;Electricity,,,,mobunloo,,no specific sitting ruling found for this row; tab defaulted from tier band (T1 -> Trade & Craft) per taxonomy sec 2's tier/tab correspondence,common,,,yes
BMT_Paleontology,Biomes! Fossils,untouched,The Refinery,T0,500,Stonecutting,,,,mobunloo,,no specific sitting ruling found for this row; tab defaulted from tier band (T0 -> Scavenger) per taxonomy sec 2's tier/tab correspondence,common,,,yes
BMT_ResearchMushrooms,Biomes! Caverns,untouched,Jawa Scavenging,T1,700,VFET_Agriculture,,,,rekko,,"no specific sitting ruling found for this row; tab defaulted from tier band (T0 -> Scavenger) per taxonomy sec 2's tier/tab correspondence | cost 700 does not fit T0's band on the live baseCost - real mod pricing, not vanilla-like; a future cost-patch pass would need to land it in-band, not something this manifest can fix by picking a different tier label",common,,,yes
BS_AndroidConversion,Big and Small - Framework,cut,,,1337,Bionics,,,,,,"v4 model fate4=cut (was untouched). | no specific sitting ruling found for this row; tab defaulted from tier band (T4 -> The Reach) per taxonomy sec 2's tier/tab correspondence | cost 1337 does not fit T4's band on the live baseCost - real mod pricing, not vanilla-like; a future cost-patch pass would need to land it in-band, not something this manifest can fix by picking a different tier label",,,,yes
BS_AnimalGrowthSerums,Big and Small - Genes & More,cut,,,250,MedicineProduction,,,,,,v4 model fate4=cut (was untouched). | no specific sitting ruling found for this row; tab defaulted from tier band (T0 -> Scavenger) per taxonomy sec 2's tier/tab correspondence,,,,yes
BS_ArchiteGeneScience,Big and Small - Genes & More,cut,,,250,BS_GeneScience,,,,,,v4 model fate4=cut (was untouched). | no specific sitting ruling found for this row; tab defaulted from tier band (T0 -> Scavenger) per taxonomy sec 2's tier/tab correspondence,,,,yes
BS_GeneScience,Big and Small - Genes & More,cut,,,250,MedicineProduction,,,,,,v4 model fate4=cut (was untouched). | no specific sitting ruling found for this row; tab defaulted from tier band (T0 -> Scavenger) per taxonomy sec 2's tier/tab correspondence,,,,yes
BS_MadScienceField,Big and Small - Genes & More,cut,,,500,BS_AnimalGrowthSerums;BS_GeneScience,,,,,,v4 model fate4=cut (was untouched). | no specific sitting ruling found for this row; tab defaulted from tier band (T0 -> Scavenger) per taxonomy sec 2's tier/tab correspondence,,,,yes
BasicGravtech,Odyssey,untouched,The Utinni,T0,50,,,,,ohm,,"prereq-join: dropped Machining[tier-inverted (T1>T0)] | Ship tree: Odyssey gravtech x3, explicitly named",common,,,yes
BasicMechtech,Biotech,cut,,,200,Batteries,Machining,,,,,"owner frozen deck 2026-09-04: ALL mechanoid research out of research potential, mechanitors too. | no specific sitting ruling found for this row; tab defaulted from tier band (T0 -> Scavenger) per taxonomy sec 2's tier/tab correspondence",,,,yes
BasicPsychicRituals,Anomaly,cut,,,0,RR_Organization,,,,,,"v4 model fate4=cut (was untouched). | Anomaly row: untouched per migration rule 5 (playstyle-gated, exception content stays reachable) | techLevel 'Undefined' is a data smell (no valid tier mapping); tier picked by cost band only - EXPECT check-3 techLevel FAIL (vanilla data issue, not a manifest defect)",,,,yes
Batteries,Core,untouched,The Workshop,T0,400,Electricity,,,,rekko,,no specific sitting ruling found for this row; tab defaulted from tier band (T0 -> Scavenger) per taxonomy sec 2's tier/tab correspondence,common,,,yes
BeamWeapons,Odyssey,untouched,Blasterworks,T3,4000,AdvancedFabrication;ChargedShot,,,,shkaar,,"no specific sitting ruling found for this row; tab defaulted from tier band (T4 -> The Reach) per taxonomy sec 2's tier/tab correspondence | cost 4000 does not fit T4's band on the live baseCost - real mod pricing, not vanilla-like; a future cost-patch pass would need to land it in-band, not something this manifest can fix by picking a different tier label",common,,,yes
BioferriteExtraction,Anomaly,cut,,,0,RR_Organization,,,,,,"v4 model fate4=cut (was untouched). | Anomaly row: untouched per migration rule 5 (playstyle-gated, exception content stays reachable) | techLevel 'Undefined' is a data smell (no valid tier mapping); tier picked by cost band only - EXPECT check-3 techLevel FAIL (vanilla data issue, not a manifest defect)",,,,yes
BioferriteGenerator,Anomaly,cut,,,0,EntityContainment;RR_PowerGenerators,,,,,,"v4 model fate4=cut (was untouched). | Anomaly row: untouched per migration rule 5 (playstyle-gated, exception content stays reachable) | techLevel 'Undefined' is a data smell (no valid tier mapping); tier picked by cost band only - EXPECT check-3 techLevel FAIL (vanilla data issue, not a manifest defect)",,,,yes
BioferriteHarvesting,Anomaly,cut,,,0,EntityContainment;Electricity,,,,,,"v4 model fate4=cut (was untouched). | Anomaly row: untouched per migration rule 5 (playstyle-gated, exception content stays reachable) | techLevel 'Undefined' is a data smell (no valid tier mapping); tier picked by cost band only - EXPECT check-3 techLevel FAIL (vanilla data issue, not a manifest defect)",,,,yes
BioferriteIgnition,Anomaly,cut,,,0,BioferriteShaping;RR_IncendiaryWeapons,,,,,,"v4 model fate4=cut (was untouched). | Anomaly row: untouched per migration rule 5 (playstyle-gated, exception content stays reachable) | techLevel 'Undefined' is a data smell (no valid tier mapping); tier picked by cost band only - EXPECT check-3 techLevel FAIL (vanilla data issue, not a manifest defect)",,,,yes
BioferriteShaping,Anomaly,cut,,,0,BioferriteExtraction;Smithing,,,,,,"v4 model fate4=cut (was untouched). | Anomaly row: untouched per migration rule 5 (playstyle-gated, exception content stays reachable) | techLevel 'Undefined' is a data smell (no valid tier mapping); tier picked by cost band only - EXPECT check-3 techLevel FAIL (vanilla data issue, not a manifest defect)",,,,yes
BiofuelRefining,Core,untouched,The Refinery,T1,700,RR_HeatingElements;RR_PowerGenerators,,,,mobunloo,,no specific sitting ruling found for this row; tab defaulted from tier band (T1 -> Trade & Craft) per taxonomy sec 2's tier/tab correspondence,common,,,yes
Biohacking,Tinkering Bench and Biohacking Station,untouched,The Workshop,T1,1250,FT_Concrete,,,,rekko,,"prereq-join: no surviving prereq; anchored to FT_Concrete (same tree, lower tier) | prereq-join: dropped MultiAnalyzer[tier-inverted (T3>T1)] | no specific sitting ruling found for this row; tab defaulted from tier band (T3 -> The Reach) per taxonomy sec 2's tier/tab correspondence | cost 1250 does not fit T3's band on the live baseCost - real mod pricing, not vanilla-like; a future cost-patch pass would need to land it in-band, not something this manifest can fix by picking a different tier label",common,,,yes
Bionics,Core,untouched,The Reach,T2,2000,ScuttlebugsBiology,Prosthetics;PenoxycylineProduction,,,ozzik,,"prereq-join: no surviving prereq; anchored to ScuttlebugsBiology (same tree, lower tier, same category) | prereq-join: dropped MultiAnalyzer[tier-inverted (T3>T2)] | no specific sitting ruling found for this row; tab defaulted from tier band (T3 -> The Reach) per taxonomy sec 2's tier/tab correspondence | cost 2000 does not fit T3's band on the live baseCost - real mod pricing, not vanilla-like; a future cost-patch pass would need to land it in-band, not something this manifest can fix by picking a different tier label",common,,,yes
Bioregeneration,Ideology,untouched,The Ascendant Ladder,T2,3000,Biosculpting,,,,ozzik,,"recost 4000->3000 (band conformance, T2) | no specific sitting ruling found for this row; tab defaulted from tier band (T3 -> The Reach) per taxonomy sec 2's tier/tab correspondence",faction-held,Helix,,yes
Biosculpting,Ideology,untouched,The Ascendant Ladder,T1,1500,GrowthVats,NutrientPaste,,,ozzik,,"prereq-join: no surviving prereq; anchored to GrowthVats (same tree, lower tier, same category) | prereq-join: dropped VitalsMonitor[tier-inverted (T2>T1)], MultiAnalyzer[tier-inverted (T3>T1)] | no specific sitting ruling found for this row; tab defaulted from tier band (T3 -> The Reach) per taxonomy sec 2's tier/tab correspondence | cost 1500 does not fit T3's band on the live baseCost - real mod pricing, not vanilla-like; a future cost-patch pass would need to land it in-band, not something this manifest can fix by picking a different tier label",faction-held,Helix,,yes
BlackHole_GT,GravTech,untouched,The Utinni,T4,5200,GravTuning;ShipReactor,,,,ohm,,"recost 2800->5200 (band conformance, T4) | GravTech 'big cannons' family (prereqs ShipReactor, unlocks AdvShip_GravReactor) - swept into Ship tree by content match; canon's explicit 'big cannons' name maps most directly to the separate GTbc_BigCannons row | cost 2800 does not fit T4's band on the live baseCost - real mod pricing, not vanilla-like; a future cost-patch pass would need to land it in-band, not something this manifest can fix by picking a different tier label",ship-only,,,yes
BlissLobotomy,Anomaly,cut,,,0,BioferriteExtraction;SterileMaterials,,,,,,"v4 model fate4=cut (was untouched). | Anomaly row: untouched per migration rule 5 (playstyle-gated, exception content stays reachable) | techLevel 'Undefined' is a data smell (no valid tier mapping); tier picked by cost band only - EXPECT check-3 techLevel FAIL (vanilla data issue, not a manifest defect)",,,,yes
BloodRain,Anomaly,cut,,,0,AdvancedPsychicRituals,,,,,,"v4 model fate4=cut (was untouched). | Anomaly row: untouched per migration rule 5 (playstyle-gated, exception content stays reachable) | techLevel 'Undefined' is a data smell (no valid tier mapping); tier picked by cost band only - EXPECT check-3 techLevel FAIL (vanilla data issue, not a manifest defect)",,,,yes
BlowbackOperation,Core,untouched,Powder & Slug,T0,500,Gunsmithing,,,,shkaar,,no specific sitting ruling found for this row; tab defaulted from tier band (T0 -> Scavenger) per taxonomy sec 2's tier/tab correspondence,common,,,yes
BoneRefine,Rim of Madness - Bones Unofficial Fix,untouched,The Refinery,T1,1000,BiofuelRefining,,,,mobunloo,,no specific sitting ruling found for this row; tab defaulted from tier band (T1 -> Trade & Craft) per taxonomy sec 2's tier/tab correspondence,common,,,yes
BoneRefineII,Rim of Madness - Bones Unofficial Fix,untouched,The Refinery,T1,1500,BoneRefine,,,,mobunloo,,"prereq-join: dropped MicroelectronicsBasics[tier-inverted (T2>T1)] | no specific sitting ruling found for this row; tab defaulted from tier band (T3 -> The Reach) per taxonomy sec 2's tier/tab correspondence | cost 1500 does not fit T3's band on the live baseCost - real mod pricing, not vanilla-like; a future cost-patch pass would need to land it in-band, not something this manifest can fix by picking a different tier label",common,,,yes
BrainWiring,Royalty,cut,,,2000,MicroelectronicsBasics,PenoxycylineProduction,,,,,"Royalty player-facing systems ruled dead (canon royalty.dead_ruled); live unlocks release to LOOT-ONLY by default (sitting_ruled), per-row re-home exceptions not decided here | cost 2000 does not fit T3's band on the live baseCost - real mod pricing, not vanilla-like; a future cost-patch pass would need to land it in-band, not something this manifest can fix by picking a different tier label",,,,yes
Brainwipe,Anomaly,cut,,,0,Philophagy,,,,,,"v4 model fate4=cut (was untouched). | Anomaly row: untouched per migration rule 5 (playstyle-gated, exception content stays reachable) | techLevel 'Undefined' is a data smell (no valid tier mapping); tier picked by cost band only - EXPECT check-3 techLevel FAIL (vanilla data issue, not a manifest defect)",,,,yes
BreadMoAM_AncientMiningTechniques,Ancient mining industry,untouched,The Refinery,T2,2000,DeepDrilling;LongRangeMineralScanner,,,,mobunloo,,no specific sitting ruling found for this row; tab defaulted from tier band (T2 -> Trade & Craft) per taxonomy sec 2's tier/tab correspondence,common,,,yes
Brewing,Core,untouched,The Hearth,T0,400,VFET_Agriculture;VFET_Fire,,,,oomo,,no specific sitting ruling found for this row; tab defaulted from tier band (T0 -> Scavenger) per taxonomy sec 2's tier/tab correspondence,common,,,yes
CGT_HalothaneGasProduction,Custom Gas Types,untouched,The Refinery,T2,2500,MedicineProduction,,,,mobunloo,,"prereq-join: dropped MultiAnalyzer[tier-inverted (T3>T2)] | no specific sitting ruling found for this row; tab defaulted from tier band (T3 -> The Reach) per taxonomy sec 2's tier/tab correspondence | cost 2500 does not fit T3's band on the live baseCost - real mod pricing, not vanilla-like; a future cost-patch pass would need to land it in-band, not something this manifest can fix by picking a different tier label",common,,,yes
CGT_MustardGasProduction,Custom Gas Types,untouched,The Refinery,T1,1600,DrugProduction;BiofuelRefining,,,,mobunloo,,no specific sitting ruling found for this row; tab defaulted from tier band (T1 -> Trade & Craft) per taxonomy sec 2's tier/tab correspondence,common,,,yes
CGT_N2OGasProduction,Custom Gas Types,untouched,The Refinery,T1,800,DrugProduction,,,,mobunloo,,no specific sitting ruling found for this row; tab defaulted from tier band (T1 -> Trade & Craft) per taxonomy sec 2's tier/tab correspondence,common,,,yes
CGT_TearGasProduction,Custom Gas Types,untouched,The Refinery,T1,800,DrugProduction,,,,mobunloo,,no specific sitting ruling found for this row; tab defaulted from tier band (T1 -> Trade & Craft) per taxonomy sec 2's tier/tab correspondence,common,,,yes
CGT_VXGasProduction,Custom Gas Types,untouched,The Refinery,T3,4000,AdvancedFabrication;MedicineProduction;MultiAnalyzer,,,,mobunloo,,no specific sitting ruling found for this row; tab defaulted from tier band (T3 -> The Reach) per taxonomy sec 2's tier/tab correspondence,common,,,yes
CGT_WeaponizedGasIEDs,Custom Gas Types,untouched,Powder & Slug,T1,1200,IEDs;Machining,,,,shkaar,,no specific sitting ruling found for this row; tab defaulted from tier band (T1 -> Trade & Craft) per taxonomy sec 2's tier/tab correspondence,common,,,yes
CGT_WeaponizedGasShells,Custom Gas Types,untouched,Powder & Slug,T1,1600,CGT_WeaponizedGasIEDs,,,,shkaar,,prereq-join: dropped Mortars[tier-inverted (T2>T1)] | no specific sitting ruling found for this row; tab defaulted from tier band (T1 -> Trade & Craft) per taxonomy sec 2's tier/tab correspondence,common,,,yes
CameraSecurity,(NWN) Real Fog of War (Continued),untouched,Powder & Slug,T1,800,Electricity,,,,shkaar,,no specific sitting ruling found for this row; tab defaulted from tier band (T1 -> Trade & Craft) per taxonomy sec 2's tier/tab correspondence,common,,,yes
CameraSecurityAdvanced,(NWN) Real Fog of War (Continued),untouched,Powder & Slug,T1,800,CameraSecurity,,,,shkaar,,no specific sitting ruling found for this row; tab defaulted from tier band (T1 -> Trade & Craft) per taxonomy sec 2's tier/tab correspondence,common,,,yes
CarpetMaking,Core,untouched,The Hearth,T1,800,RR_BasicCraftingFacilities,,,,oomo,,"no specific sitting ruling found for this row; tab defaulted from tier band (T0 -> Scavenger) per taxonomy sec 2's tier/tab correspondence | cost 800 does not fit T0's band on the live baseCost - real mod pricing, not vanilla-like; a future cost-patch pass would need to land it in-band, not something this manifest can fix by picking a different tier label",common,,,yes
CataphractArmor,Royalty,cut,,,6000,ReconArmor;PoweredArmor;AdvancedFabrication,,,,,,"Royalty player-facing systems ruled dead (canon royalty.dead_ruled); live unlocks release to LOOT-ONLY by default (sitting_ruled), per-row re-home exceptions not decided here",,,,yes
ChargedShot,Core,untouched,Blasterworks,T2,3000,guy762_ResearchKotOR_droidblasters,PrecisionRifling,,,shkaar,,"prereq-join: no surviving prereq; anchored to guy762_ResearchKotOR_droidblasters (same tree, lower tier, same category) | prereq-join: dropped MultiAnalyzer[tier-inverted (T3>T2)] | no specific sitting ruling found for this row; tab defaulted from tier band (T3 -> The Reach) per taxonomy sec 2's tier/tab correspondence | cost 3000 does not fit T3's band on the live baseCost - real mod pricing, not vanilla-like; a future cost-patch pass would need to land it in-band, not something this manifest can fix by picking a different tier label",common,,,yes
ChemfuelRefining,Rimefeller,untouched,The Refinery,T1,1500,DrugProduction,,,,mobunloo,,"prereq-join: no surviving prereq; anchored to DrugProduction (same tree, lower tier, same category) | prereq-join: dropped OilDrilling[tier-inverted (T2>T1)] | no specific sitting ruling found for this row; tab defaulted from tier band (T1 -> Trade & Craft) per taxonomy sec 2's tier/tab correspondence",common,,,yes
Chronophagy,Anomaly,cut,,,0,Psychophagy,,,,,,"v4 model fate4=cut (was untouched). | Anomaly row: untouched per migration rule 5 (playstyle-gated, exception content stays reachable) | techLevel 'Undefined' is a data smell (no valid tier mapping); tier picked by cost band only - EXPECT check-3 techLevel FAIL (vanilla data issue, not a manifest defect)",,,,yes
