file,tier,confidence,reason,straddle
WeaponTags_Renormalise.xml,RSW,HIGH,"Generated by weapon_tag_audit.py; re-tags survivor weapons (including RSW/Jawa_IonWeapon items) into vanilla weaponTags vocabulary after the ""guns cut for blasters"" campaign-type decision — mechanical fix, no Ash'karr lore in file content",no
WorldMapReadability_Ashkarr.xml,RM,MEDIUM,"Despite the ""Ashkarr"" filename, the patch only sets `expandingIconDrawSize` on the generic vanilla `Settlement` WorldObjectDef — a pure engine/UI readability tweak with no world- or lore-specific content; filename reflects motivation, not scope",no
XenotypeTolerances_Ashkarr.xml,RUT,HIGH,"Generated by xenotype_tolerances.py to give six xenotypes a ""native edge"" temperature band specifically tuned to Ash'karr's climate per the owner's 2026-08-23 ruling","yes — the genes/xenotypes touched are generic RSW species defs, but the specific °C values encode this planet's climate ruling, not a generic mechanic"
Defs/BiomeDefs/Jawa_BackgroundWater.xml,RUT,HIGH,"Authored BiomeDef whose description (""the water of Ash'karr carries more suspended rock than life"") and texture are explicitly Ash'karr-specific",no
Defs/CultureDefs/JawaLeaderTitles.xml,RUT,HIGH,Authors 12 CultureDefs/RulePackDefs giving this campaign's own 12 authored FactionDefs their correct leader titles — fix-mod tie-break rule: fixes the campaign's own faction roster,no
Defs/FactionDefs/JawaAscendantHelix.xml,RUT,HIGH,"Fully authored FactionDef (FACTION_SPEC.md §9) with campaign-specific ideo (""the Ascendant Genome"")",no
Defs/FactionDefs/JawaDeepwaterCompact.xml,RUT,HIGH,"Fully authored FactionDef (FACTION_SPEC.md §7) with campaign-specific ideo (""the Balance"") tied to Ash'karr's water economy",no
Defs/FactionDefs/JawaFreeDroidEnclaves.xml,RUT,HIGH,"Fully authored FactionDef (FACTION_SPEC.md §5) with campaign-specific ideo (""the Continuity Protocol"")",no
Defs/FactionDefs/JawaGeonosianFoundryHive.xml,RUT,HIGH,"Fully authored FactionDef (FACTION_SPEC.md §8) with campaign-specific ideo (""Meckgin"")",no
Defs/FactionDefs/JawaHuttCartel.xml,RUT,HIGH,"Fully authored FactionDef (FACTION_SPEC.md §2) with campaign-specific ideo (""the Reckoning of Debts"")",no
Defs/FactionDefs/JawaJunkers.xml,RUT,HIGH,"Fully authored FactionDef (FACTION_SPEC.md §12) with campaign-specific ideo (""the Weight"")",no
Defs/FactionDefs/JawaTribes.xml,RUT,HIGH,"Fully authored FactionDef for the indigenous Jawa Trade Moot, sharing ""The Salvation"" — this campaign's own player ideoligion",no
Defs/FactionDefs/JawaWildsteamClan.xml,RUT,HIGH,"Faction 6 of 14 for Ash'karr (defName Jawa_WildsteamClan), authored culture + campaign-specific ""Green Oath"" ideo/lore text",no
Defs/MapGeneration/JawaGroundHulk.xml,RUT,HIGH,"GenStep places the campaign's specific crashed-wreck story beat (Hutts stripped it first, Jawa second scavengers) tied to this campaign's gravship",no
Defs/MapGeneration/JawaScrapfields.xml,RUT,HIGH,Desert scrap scatter authored directly from Ash'karr-specific worldbuilding docs for this campaign's scavenger-clan fiction,no
Defs/PawnKindDefs/AlienSpawnEnablers.xml,RSW,HIGH,"Generic dev-spawn stubs for assorted SW species (Hutt, Gand, Kubaz, Sith, Yoder); no Ash'karr/clan content, reusable by any RSW campaign",no
Defs/PawnKindDefs/GamorreanPawnKinds.xml,RSW,HIGH,"Generic armed Gamorrean pawnkinds pointing at an existing mod faction, not an Ash'karr faction",no
Defs/PawnKindDefs/JawaColonistPawnKinds.xml,RUT,HIGH,"The campaign's own player-colonist and indigenous-tribe kinds, built to owner rulings (SCENARIO_SPEC.md/""The Salvation"" ideo)",no
Defs/PawnKindDefs/JawaFactionRoster.xml,RUT,HIGH,48-kind roster for this campaign's 12 authored Ash'karr factions with named leaders,yes — Droidworks candidate: Jawa_Droid_* kinds mix generic droid mechanics (RSW-level) with this campaign's Jawa_FreeDroidEnclaves faction and named leader
Defs/PrefabDefs/JawaGroundHulk.xml,RUT,HIGH,PrefabDef half of the wreck; hand-authored deck layout with campaign-specific narrative,no
Defs/QuestScriptDefs/Jawa_TheClaim.xml,RUT,HIGH,Quest with campaign-authored narrative text unique to this campaign,no
Defs/RulePackDefs/Jawa_PetNames.xml,RSW,MEDIUM,"Generic ""lore-accurate Star Wars pet name generator"", not tied to Ash'karr's plot","yes — mostly generic SW namer content, but includes a ""Utinni Surcharge"" joke punning on this campaign's ship name"
Defs/RulePackDefs/Namer_BlackstarCompany.xml,RUT,MEDIUM,"Fixes a naming-inheritance bug for the pirate faction actually placed on this planet, with its own settlements/roster","yes — bug-fix mechanism is generic, but the target (Blackstar Company, Ash'karr's placed faction) is campaign-specific"
Defs/RulePackDefs/Namer_PirateSyndicates.xml,RUT,MEDIUM,"Same fix pattern, assigning canon SW gang names to the five pirate-derived factions used in this campaign's roster","yes — canon SW gang names are generic, but the assignment configures Ash'karr's faction set specifically"
Defs/ScenarioDefs/Scenario_Utinni.xml,RUT,HIGH,"The campaign's own opening scenario/narration (Kolyska, Ohm the All-Current, Rakata, Ash'karr the Sundered, six Jawa founders)",no
Defs/TerrainDefs/JawaSaltCrust.xml,RUT,MEDIUM,"Cosmetic terrain built from Ash'karr's own worldbuilding docs as one of six ""locked terrain anchors""",yes — TerrainDef fields are generic reusable desert terrain; only the design-doc justification ties it to Ash'karr
Defs/ThingDefs_Items/Jawa_ClaimRumour.xml,RUT,HIGH,Item exists solely to trigger this campaign's Jawa_TheClaim quest; fiction is campaign-specific,no
Defs/WeatherDefs/SWDesertWeather.xml,RSW,HIGH,Generic desert/volcanic weather ported from a Star Wars biome mod; no Ash'karr-specific text,no
Defs/XenotypeDefs/GamorreanXenotype.xml,RSW,HIGH,Custom Gamorrean SPECIES genes forked from an existing mod xenotype; species/genes are owner-explicit RimStarWars content,no
DeepDesertTribes.xml,RUT,HIGH,"Builds FACTION_SPEC.md's ""Deep Desert Tribes"" (patches vanilla TribeCivil), authors Jawa_DeepDesert_* raid rosters and ""Sun-Debt"" ideology",no
DrillTurret_ShootingJob.xml,RM,MEDIUM,Retypes one WorkGiverDef field on the generic third-party MiningCo. DrillTurret mod,"yes — motivated by the clan's ""no digging"" gene, but the patched field is global/generic"
DroidFemaleTexture_Fix.xml,RSW,MEDIUM,"Root fix for Outer Rim Droid Depot's missing female droid art (bulk of file, 7/11 ops)",yes — block 2 separately patches this mod's own Jawa_Droid_* kinds for the Ash'karr Free Droid Enclaves faction
EggLayersLayEggs.xml,RSW,HIGH,Patches 19 egg-laying species + RSW_RimMandrakeHutt reproduction genes — generic SW species-pack content,no
Fleshbeast_TrispikeCull.xml,RUT,MEDIUM,"Removes Trispike from Anomaly death-spawn lists per a campaign-specific curation ruling, tied to this world's renames",no
ForceGremlin_NoHair.xml,RSW,HIGH,Adds bald/beardless genes to RSW_RimMandrakeYoderForceGremlin — generic SW species content,no
ForgottenArsenal.xml,RUT,HIGH,"Builds FACTION_SPEC.md's ""the Forgotten Arsenal"" faction (patches vanilla Mechanoid)",no
GalacticEmpire.xml,RUT,HIGH,"Implements FACTION_SPEC.md's Empire: Jawa_Empire_* rosters, campaign ideo, whitelist naming Ash'karr-specific factions","yes — ""Galactic Empire"" itself is franchise-generic, but nearly every mechanical detail here is this world's faction relationships"
GiantWeaponWielders_Ashkarr.xml,RUT,HIGH,Owner's campaign ruling on which species may wield giant weapons IN THIS PLAYTHROUGH,"yes — genes/xenotypes patched are generic RSW content; only the ""which 16"" decision is Ash'karr-specific"
GrimTerraTexPaths_Fix.xml,RM,HIGH,"Fixes texPath typos in GRiNDTerra Biomes, a generic non-SW animal/biome mod",no
HeadSetForFA_Revive.xml,RM,HIGH,Fixes a static-constructor crash in Head Set For Facial Animation — generic engine-level bug,no
HomesteadDefenseLeague.xml,RUT,HIGH,"Builds FACTION_SPEC.md's ""Homestead Defense League"" (patches vanilla OutlanderCivil), ""Covenant of Free Wells"" ideo",no
HumanTemperatureBand_Ashkarr.xml,RUT,HIGH,"Retunes vanilla Human ComfyTemperature to match temperatures measured across all 21,872 Ash'karr tiles",no
HuttEyes_RestoreRenderNodes.xml,RSW,MEDIUM,Restores gene renderNodeProperties for RSW_RimMandrakeHutt eye genes stripped by an FA compat patch — generic-species rendering fix,no
Ikee_Rename.xml,RUT,HIGH,"Renames Alpha Animals' AA_Eyeling to ""ikee"" for the starting Jawa clan, placed only in Ash'karr's own biomes",no
Ikee_Tuning.xml,RUT,HIGH,Continues the same campaign-specific pet design (Ikee/Jawa clan),no
IonStunMote_Blue.xml,RSW,HIGH,Tints vanilla Mote_Stun to match RSW_JawaIon_Damage's colour; ion weapons are RimStarWars tier per naming-plan doctrine,no
IsekaiTraits_ExcludeFromRandomRoll.xml,RSW,HIGH,"Zeroes commonality on Isekai traits so the SW identity reflavor is earned, not rolled — generic Force-fiction",no
IsekaiTraits_StarWarsReflavor.xml,RSW,HIGH,"Reflavors ISEKAI RPG LEVELING traits into generic Star Wars idiom — franchise-generic, no Ash'karr content",no
JawaAppearance_Tuning.xml,RSW,HIGH,"Tunes RSW_MandrakeJawa species genes (skin colour, head/eye genes, all-male) — species genetics is RimStarWars per naming plan's ""species vs clan"" rule",no
JawaCombatViability_Tuning.xml,RSW,HIGH,Swaps RSW_MandrakeJawa's Turn_Gene_Terrified for authored RSW_Jawa_Skittish gene — species-genetics change,no
JawaGroundHulk_Register.xml,RUT,HIGH,"Registers a crashed-ship ""ground hulk"" stamp on Base_Player — this-story fiction (the clan's own crashed ship)",no
JawaResource_Scrapfields.xml,RUT,MEDIUM,"Scatters scrap chunks on Base_Player; sibling of JawaGroundHulk_Register, same crash-site scavenger fiction",no
JawaTerrain_DuneSeas.xml,RUT,HIGH,Widens desert dune terrain per explicit citations of design/Jawa/worldbuilding/*,no
JawaTerrain_HorrorWastes.xml,RUT,HIGH,Reworks HorrorWastes ground/texture measured against Ash'karr's own 468 nightside tiles,no
JawaTerrain_SaltPans.xml,RUT,HIGH,Adds Jawa_SaltCrust salt-pan density to desert biomes; same worldbuilding effort as DuneSeas,no
JawaWorld_BiomeMix.xml,RUT,HIGH,Configures the game producing the SOURCE world Ash'karr is painted from; owner-ratified biome tiering,no
JawaWorld_Name.xml,RUT,HIGH,"Literally sets the world's generated name to ""Ash'karr""",no
JawaXenotype_Repoint.xml,RSW,MEDIUM,Repoints a PawnKindDef to RSW_MandrakeJawa instead of RSW_RimMandrakeJawa — both RSW species xenotypes,"yes — fixes an RM-generator-authored def and enacts an owner playthrough-specific canonicalization, but entities involved are pure RSW species defs"
MechanoidIntrusion_AllowRivers.xml,RUT,HIGH,"Fixes river visibility at the ""Rust Cathedral"", a named Ash'karr landmark, using this world's specific tile IDs",no
PetNames_Ashkarr.xml,RSW,MEDIUM,Repoints SW Animal Collection's tamed-pet namer to a Jawa/SW-person-name corpus; generic re-theming despite filename suffix,no
PirateWaster_Yield.xml,RUT,HIGH,"Exists solely so the campaign-specific ""Blackstar Company"" faction can generate at all — fix-mod tie-break",no
PlanetLayer_BackgroundWater.xml,RUT,HIGH,"Repoints world background water rendering to Jawa_BackgroundWater (""water of Ash'karr..."")",no
PlantNames_Ashkarr.xml,RSW,MEDIUM,Relabels Earth crops with generic Star Wars canon/invented names; no Ash'karr-specific references despite filename,no
PlantTolerances_Ashkarr.xml,RUT,HIGH,Generated per-plant temperature bands refitted to measured tile-temperature ranges of biomes on Ash'karr,no
PodCarIsLandspeeder.xml,RSW,MEDIUM,Generic SW desert reskin of Core's AncientPodCar as a wrecked landspeeder; generic flavor text,no
RebelAlliance_Suppress.xml,RUT,HIGH,Campaign-specific faction-roster ruling keeping a galactic-civil-war belligerent off the map (Jawa scavenger clan campaign),no
SWCPZoomerIcon_Fix.xml,RSW,HIGH,Fixes a NullReferenceException in generic SW mod SWCP's icon resolution — fix-mod tie-break,no
SWDesertWeather_Attach.xml,RSW,HIGH,Attaches generic SW desert/volcanic hazard weather (Tatooine/Mustafar archetypes) across unrelated desert/volcano biome mods,no
