packageId,verdict,note
unlimitedhugs.allowtool,keep,"Essential QoL utility (mass designations, forbid/allow) — no examination needed"
duz.almosttherefork,keep,No content-bearing Defs folder found (framework/library/patch-only or C#-mechanic-only) — not individually examined this pass.
sarg.alphabiomes,keep,Referenced in an existing design doc / canon.yml — already has a documented adoption reason.
sarg.alphamechs,keep,No content-bearing Defs folder found (framework/library/patch-only or C#-mechanic-only) — not individually examined this pass.
sarg.alphamemes,keep,Referenced in an existing design doc / canon.yml — already has a documented adoption reason.
swablu.ambience,keep,No content-bearing Defs folder found (framework/library/patch-only or C#-mechanic-only) — not individually examined this pass.
vita.campdangers,keep,No content-bearing Defs folder found (framework/library/patch-only or C#-mechanic-only) — not individually examined this pass.
xmb.ancientminingindustry.mo,keep,Referenced in an existing design doc / canon.yml — already has a documented adoption reason.
aqued.dredgeaberrations,keep,No content-bearing Defs folder found (framework/library/patch-only or C#-mechanic-only) — not individually examined this pass.
rpgwanderer.opturret,keep,See design/Jawa/sw_ownership_survey.md — already assessed as genuine SW content.
neronix17.asimov,keep,Referenced in an existing design doc / canon.yml — already has a documented adoption reason.
asp.halituisamaricanous,examine,"Cosmetic astronomy-themed style/terrain pack — check it's actually visible/used against the desert palette, or drop as dead weight"
kshtantrumsounds.mod,keep,"Sound-only flavor for tantrums — trivial, harmless"
automatic.autolinks,keep,No content-bearing Defs folder found (framework/library/patch-only or C#-mechanic-only) — not individually examined this pass.
fuu.autostriponhaul,keep,No content-bearing Defs folder found (framework/library/patch-only or C#-mechanic-only) — not individually examined this pass.
mlie.beastsoftherim,keep,No content-bearing Defs folder found (framework/library/patch-only or C#-mechanic-only) — not individually examined this pass.
elsov.beliar,keep,No content-bearing Defs folder found (framework/library/patch-only or C#-mechanic-only) — not individually examined this pass.
io.github.relvl.rimworld.bestapparel,keep,No content-bearing Defs folder found (framework/library/patch-only or C#-mechanic-only) — not individually examined this pass.
ionfrigate12345.coolandgoodambush,keep,No content-bearing Defs folder found (framework/library/patch-only or C#-mechanic-only) — not individually examined this pass.
mlie.betterbeggars,keep,No content-bearing Defs folder found (framework/library/patch-only or C#-mechanic-only) — not individually examined this pass.
dizzyeevee.bettercrossbreeding,keep,No content-bearing Defs folder found (framework/library/patch-only or C#-mechanic-only) — not individually examined this pass.
nephlite.advexplosions,keep,No content-bearing Defs folder found (framework/library/patch-only or C#-mechanic-only) — not individually examined this pass.
arkymn.bettergrowthmoments,keep,No content-bearing Defs folder found (framework/library/patch-only or C#-mechanic-only) — not individually examined this pass.
zal.betterinfestations,keep,No content-bearing Defs folder found (framework/library/patch-only or C#-mechanic-only) — not individually examined this pass.
coldcrow.betterkibble,keep,No content-bearing Defs folder found (framework/library/patch-only or C#-mechanic-only) — not individually examined this pass.
madeline.modmismatchformatter,keep,No content-bearing Defs folder found (framework/library/patch-only or C#-mechanic-only) — not individually examined this pass.
mlie.betterprojectileorigin,keep,No content-bearing Defs folder found (framework/library/patch-only or C#-mechanic-only) — not individually examined this pass.
jm.bettertraders,keep,No content-bearing Defs folder found (framework/library/patch-only or C#-mechanic-only) — not individually examined this pass.
chaoticenrico.bettertrees,keep,No content-bearing Defs folder found (framework/library/patch-only or C#-mechanic-only) — not individually examined this pass.
falconne.bwm,keep,Referenced in an existing design doc / canon.yml — already has a documented adoption reason.
businburg.businfeatures,examine,Adds TraitDefs under a vague name — unclear what traits without opening it; check for balance overlap
redmattis.biggergravship,keep,No content-bearing Defs folder found (framework/library/patch-only or C#-mechanic-only) — not individually examined this pass.
kopp.biomecompatibilityproject,keep,No content-bearing Defs folder found (framework/library/patch-only or C#-mechanic-only) — not individually examined this pass.
biomesteam.biomesfossils,keep,Referenced in an existing design doc / canon.yml — already has a documented adoption reason.
biomesteam.coreframework,keep,Referenced in an existing design doc / canon.yml — already has a documented adoption reason.
zal.biomeskit,keep,No content-bearing Defs folder found (framework/library/patch-only or C#-mechanic-only) — not individually examined this pass.
fuu.bloodanimations,keep,Referenced in an existing design doc / canon.yml — already has a documented adoption reason.
bs.mbifvte,keep,No content-bearing Defs folder found (framework/library/patch-only or C#-mechanic-only) — not individually examined this pass.
gulmadred.breedingritual,keep,No content-bearing Defs folder found (framework/library/patch-only or C#-mechanic-only) — not individually examined this pass.
memegoddess.buildfrominventory,keep,Referenced in an existing design doc / canon.yml — already has a documented adoption reason.
8z.callforintel,keep,Referenced in an existing design doc / canon.yml — already has a documented adoption reason.
brrainz.cameraplus,keep,No content-bearing Defs folder found (framework/library/patch-only or C#-mechanic-only) — not individually examined this pass.
iforgotmysocks.caravanadventures,keep,No content-bearing Defs folder found (framework/library/patch-only or C#-mechanic-only) — not individually examined this pass.
joe.cephaloids,keep,No content-bearing Defs folder found (framework/library/patch-only or C#-mechanic-only) — not individually examined this pass.
kapitanoczywisty.changemapedge,keep,No content-bearing Defs folder found (framework/library/patch-only or C#-mechanic-only) — not individually examined this pass.
void.charactereditor,keep,No content-bearing Defs folder found (framework/library/patch-only or C#-mechanic-only) — not individually examined this pass.
heatherathebyne.childrenlearnoncaravan,keep,No content-bearing Defs folder found (framework/library/patch-only or C#-mechanic-only) — not individually examined this pass.
mlie.choosebiomecommonality,keep,Referenced in an existing design doc / canon.yml — already has a documented adoption reason.
kearril.choosewheretoland,keep,No content-bearing Defs folder found (framework/library/patch-only or C#-mechanic-only) — not individually examined this pass.
mlie.choosewildanimalspawns,keep,Referenced in an existing design doc / canon.yml — already has a documented adoption reason.
kikohi.coloreddeepresources,keep,No content-bearing Defs folder found (framework/library/patch-only or C#-mechanic-only) — not individually examined this pass.
petetimessix.compacthediffs,keep,No content-bearing Defs folder found (framework/library/patch-only or C#-mechanic-only) — not individually examined this pass.
com.makeitso.configurabletechprints,keep,No content-bearing Defs folder found (framework/library/patch-only or C#-mechanic-only) — not individually examined this pass.
cozyfire.velcroboy333,keep,No content-bearing Defs folder found (framework/library/patch-only or C#-mechanic-only) — not individually examined this pass.
heatherathebyne.craftingspotslavegear,keep,No content-bearing Defs folder found (framework/library/patch-only or C#-mechanic-only) — not individually examined this pass.
thumb.bettercremation,keep,No content-bearing Defs folder found (framework/library/patch-only or C#-mechanic-only) — not individually examined this pass.
greg.customgastypes,keep,No content-bearing Defs folder found (framework/library/patch-only or C#-mechanic-only) — not individually examined this pass.
hailuan.customquestframework,keep,Referenced in an existing design doc / canon.yml — already has a documented adoption reason.
costel.customroomnames,keep,Trivial QoL: name your rooms
dimonsever000.ideologyvirtues,keep,No content-bearing Defs folder found (framework/library/patch-only or C#-mechanic-only) — not individually examined this pass.
east.dancepartycustommusic,keep,No content-bearing Defs folder found (framework/library/patch-only or C#-mechanic-only) — not individually examined this pass.
van.beasts,keep,No content-bearing Defs folder found (framework/library/patch-only or C#-mechanic-only) — not individually examined this pass.
van.dacrypts,keep,No content-bearing Defs folder found (framework/library/patch-only or C#-mechanic-only) — not individually examined this pass.
darkestdungeon.incidentsounds,keep,Sound-only flavor for incidents — trivial
troopersmith1.deathrattle,keep,No content-bearing Defs folder found (framework/library/patch-only or C#-mechanic-only) — not individually examined this pass.
mlie.decorativecliffs,keep,No content-bearing Defs folder found (framework/library/patch-only or C#-mechanic-only) — not individually examined this pass.
clown.dedicatedturrets,examine,New turret mechanics (research/hediff/effect/thing defs) — direct overlap risk with the ratified turret-normalization doctrine in canon.yml; check before keeping both
gondragon.defensivepositions,keep,Referenced in an existing design doc / canon.yml — already has a documented adoption reason.
merthsoft.designatorshapes,keep,No content-bearing Defs folder found (framework/library/patch-only or C#-mechanic-only) — not individually examined this pass.
milkwater.destinymod,keep,No content-bearing Defs folder found (framework/library/patch-only or C#-mechanic-only) — not individually examined this pass.
garwel.destroyitem,keep,No content-bearing Defs folder found (framework/library/patch-only or C#-mechanic-only) — not individually examined this pass.
det.avaloi,keep,Referenced in an existing design doc / canon.yml — already has a documented adoption reason.
det.boglegs,keep,No content-bearing Defs folder found (framework/library/patch-only or C#-mechanic-only) — not individually examined this pass.
det.brawnum,keep,No content-bearing Defs folder found (framework/library/patch-only or C#-mechanic-only) — not individually examined this pass.
det.buzzers,keep,No content-bearing Defs folder found (framework/library/patch-only or C#-mechanic-only) — not individually examined this pass.
det.keshig,keep,No content-bearing Defs folder found (framework/library/patch-only or C#-mechanic-only) — not individually examined this pass.
det.venators,keep,No content-bearing Defs folder found (framework/library/patch-only or C#-mechanic-only) — not individually examined this pass.
cometopapa.deteriorated,keep,No content-bearing Defs folder found (framework/library/patch-only or C#-mechanic-only) — not individually examined this pass.
lornath.diseaseimmunityprogresstracker,keep,No content-bearing Defs folder found (framework/library/patch-only or C#-mechanic-only) — not individually examined this pass.
jecrell.doorsexpanded,keep,Referenced in an existing design doc / canon.yml — already has a documented adoption reason.
dubwise.dubspaintshop,keep,No content-bearing Defs folder found (framework/library/patch-only or C#-mechanic-only) — not individually examined this pass.
dubwise.dubsbadhygiene.thirst,keep,Referenced in an existing design doc / canon.yml — already has a documented adoption reason.
dubwise.dubsbadhygiene.lite,keep,No content-bearing Defs folder found (framework/library/patch-only or C#-mechanic-only) — not individually examined this pass.
dubwise.dubsmintmenus,keep,No content-bearing Defs folder found (framework/library/patch-only or C#-mechanic-only) — not individually examined this pass.
dubwise.dubsmintminimap,keep,No content-bearing Defs folder found (framework/library/patch-only or C#-mechanic-only) — not individually examined this pass.
dubwise.dubsrimkit,keep,No content-bearing Defs folder found (framework/library/patch-only or C#-mechanic-only) — not individually examined this pass.
blues.forge,keep,No content-bearing Defs folder found (framework/library/patch-only or C#-mechanic-only) — not individually examined this pass.
maincrep.eweb,keep,See design/Jawa/sw_ownership_survey.md — already assessed as genuine SW content.
yourname.effigys.mod,keep,Referenced in an existing design doc / canon.yml — already has a documented adoption reason.
carnysenpai.enableoversizedweapons,keep,No content-bearing Defs folder found (framework/library/patch-only or C#-mechanic-only) — not individually examined this pass.
nep.enginesunlimited,keep,No content-bearing Defs folder found (framework/library/patch-only or C#-mechanic-only) — not individually examined this pass.
det.epochsincense,keep,No content-bearing Defs folder found (framework/library/patch-only or C#-mechanic-only) — not individually examined this pass.
det.epochspyrinth,keep,No content-bearing Defs folder found (framework/library/patch-only or C#-mechanic-only) — not individually examined this pass.
erin.ffanimals,keep,No content-bearing Defs folder found (framework/library/patch-only or C#-mechanic-only) — not individually examined this pass.
keshash.extraexplosioneffects,keep,No content-bearing Defs folder found (framework/library/patch-only or C#-mechanic-only) — not individually examined this pass.
eoralmilk.faceaddonframework,keep,No content-bearing Defs folder found (framework/library/patch-only or C#-mechanic-only) — not individually examined this pass.
azravos.factioncustomizer,keep,Referenced in an existing design doc / canon.yml — already has a documented adoption reason.
mlie.factionraidcooldown,keep,No content-bearing Defs folder found (framework/library/patch-only or C#-mechanic-only) — not individually examined this pass.
kosaro.fahrenheitandcelsius,keep,No content-bearing Defs folder found (framework/library/patch-only or C#-mechanic-only) — not individually examined this pass.
tyrannidae.fancyratsplus,keep,No content-bearing Defs folder found (framework/library/patch-only or C#-mechanic-only) — not individually examined this pass.
realify.firefoam,keep,No content-bearing Defs folder found (framework/library/patch-only or C#-mechanic-only) — not individually examined this pass.
aelanna.fistnerf,keep,No content-bearing Defs folder found (framework/library/patch-only or C#-mechanic-only) — not individually examined this pass.
kathanon.floatsubmenu,keep,No content-bearing Defs folder found (framework/library/patch-only or C#-mechanic-only) — not individually examined this pass.
temeez.floorlights2,keep,No content-bearing Defs folder found (framework/library/patch-only or C#-mechanic-only) — not individually examined this pass.
aoba.fortress.neolithic,keep,No content-bearing Defs folder found (framework/library/patch-only or C#-mechanic-only) — not individually examined this pass.
m00nl1ght.geologicallandforms,keep,Referenced in an existing design doc / canon.yml — already has a documented adoption reason.
memegoddess.giddyup,keep,No content-bearing Defs folder found (framework/library/patch-only or C#-mechanic-only) — not individually examined this pass.
lts.geg,keep,No content-bearing Defs folder found (framework/library/patch-only or C#-mechanic-only) — not individually examined this pass.
albion.goexplore,keep,No content-bearing Defs folder found (framework/library/patch-only or C#-mechanic-only) — not individually examined this pass.
mlie.graffitimod,keep,No content-bearing Defs folder found (framework/library/patch-only or C#-mechanic-only) — not individually examined this pass.
arcjc007.gravshipcrashes,keep,No content-bearing Defs folder found (framework/library/patch-only or C#-mechanic-only) — not individually examined this pass.
arcjc007.gravshipexporter,keep,No content-bearing Defs folder found (framework/library/patch-only or C#-mechanic-only) — not individually examined this pass.
sk.gravshipraids,keep,Referenced in an existing design doc / canon.yml — already has a documented adoption reason.
imagitama.rimworldgravshiprangeonmap,keep,No content-bearing Defs folder found (framework/library/patch-only or C#-mechanic-only) — not individually examined this pass.
grimterra.biomesmod,keep,No content-bearing Defs folder found (framework/library/patch-only or C#-mechanic-only) — not individually examined this pass.
grimterra.terrainretexturemod,keep,No content-bearing Defs folder found (framework/library/patch-only or C#-mechanic-only) — not individually examined this pass.
arti.shrinez,keep,No content-bearing Defs folder found (framework/library/patch-only or C#-mechanic-only) — not individually examined this pass.
mlie.harvestwhenbutchering,keep,No content-bearing Defs folder found (framework/library/patch-only or C#-mechanic-only) — not individually examined this pass.
ael.tua.helmetsaddtoxresistance,keep,No content-bearing Defs folder found (framework/library/patch-only or C#-mechanic-only) — not individually examined this pass.
elsov.highborn,keep,No content-bearing Defs folder found (framework/library/patch-only or C#-mechanic-only) — not individually examined this pass.
mlie.horrors,keep,No content-bearing Defs folder found (framework/library/patch-only or C#-mechanic-only) — not individually examined this pass.
hazn.huntingtraps,keep,No content-bearing Defs folder found (framework/library/patch-only or C#-mechanic-only) — not individually examined this pass.
hailuan.iwbb,keep,No content-bearing Defs folder found (framework/library/patch-only or C#-mechanic-only) — not individually examined this pass.
amegakull.scvrole,keep,No content-bearing Defs folder found (framework/library/patch-only or C#-mechanic-only) — not individually examined this pass.
kxp.ideosymbolsasideograms,keep,No content-bearing Defs folder found (framework/library/patch-only or C#-mechanic-only) — not individually examined this pass.
llunak.moreprecepts,keep,Referenced in an existing design doc / canon.yml — already has a documented adoption reason.
agentblac.makepawnsprisoners,keep,No content-bearing Defs folder found (framework/library/patch-only or C#-mechanic-only) — not individually examined this pass.
mlie.incidentdisabler,keep,Referenced in an existing design doc / canon.yml — already has a documented adoption reason.
koth.isid,keep,No content-bearing Defs folder found (framework/library/patch-only or C#-mechanic-only) — not individually examined this pass.
mandrake.inhabited,keep,Our own mod — not a third-party audit target.
haecriver.injuredcarry,keep,No content-bearing Defs folder found (framework/library/patch-only or C#-mechanic-only) — not individually examined this pass.
ferny.easycaravanformation,keep,No content-bearing Defs folder found (framework/library/patch-only or C#-mechanic-only) — not individually examined this pass.
turnovus.biotech.integratedgenes,keep,No content-bearing Defs folder found (framework/library/patch-only or C#-mechanic-only) — not individually examined this pass.
jaxe.bubbles,keep,Referenced in an existing design doc / canon.yml — already has a documented adoption reason.
mlie.interactionareasettings,keep,No content-bearing Defs folder found (framework/library/patch-only or C#-mechanic-only) — not individually examined this pass.
glitchgoblin.invisibleconduitcont,keep,No content-bearing Defs folder found (framework/library/patch-only or C#-mechanic-only) — not individually examined this pass.
zal.ionweaponry,keep,No content-bearing Defs folder found (framework/library/patch-only or C#-mechanic-only) — not individually examined this pass.
mandrake.jawafactionslate,keep,No content-bearing Defs folder found (framework/library/patch-only or C#-mechanic-only) — not individually examined this pass.
mandrake.jawaplantgrowth,keep,No content-bearing Defs folder found (framework/library/patch-only or C#-mechanic-only) — not individually examined this pass.
mandrake.jawarules,keep,No content-bearing Defs folder found (framework/library/patch-only or C#-mechanic-only) — not individually examined this pass.
jecrell.jecstools,keep,See design/Jawa/sw_ownership_survey.md — already assessed as genuine SW content.
kikohi.jewelry,keep,No content-bearing Defs folder found (framework/library/patch-only or C#-mechanic-only) — not individually examined this pass.
mlie.jurassicrimworlddinosaursonly,keep,No content-bearing Defs folder found (framework/library/patch-only or C#-mechanic-only) — not individually examined this pass.
mf.jfklanding,keep,No content-bearing Defs folder found (framework/library/patch-only or C#-mechanic-only) — not individually examined this pass.
timuttie.justleavealready.fork.mitasamodel,keep,No content-bearing Defs folder found (framework/library/patch-only or C#-mechanic-only) — not individually examined this pass.
mlie.justputitoverthere,keep,No content-bearing Defs folder found (framework/library/patch-only or C#-mechanic-only) — not individually examined this pass.
linnun.keepconverting,keep,No content-bearing Defs folder found (framework/library/patch-only or C#-mechanic-only) — not individually examined this pass.
vaguelysexual.modpackageid.goeshere,keep,No content-bearing Defs folder found (framework/library/patch-only or C#-mechanic-only) — not individually examined this pass.
mlie.largefactionbases,keep,No content-bearing Defs folder found (framework/library/patch-only or C#-mechanic-only) — not individually examined this pass.
zal.largeoutpost,keep,No content-bearing Defs folder found (framework/library/patch-only or C#-mechanic-only) — not individually examined this pass.
arcjc007.lasercannon,keep,No content-bearing Defs folder found (framework/library/patch-only or C#-mechanic-only) — not individually examined this pass.
costel.layeredapparel,keep,No content-bearing Defs folder found (framework/library/patch-only or C#-mechanic-only) — not individually examined this pass.
noneobsidiaexpansion.ledlightsstrip,keep,No content-bearing Defs folder found (framework/library/patch-only or C#-mechanic-only) — not individually examined this pass.
juanlopez2008.lightsout,keep,No content-bearing Defs folder found (framework/library/patch-only or C#-mechanic-only) — not individually examined this pass.
mlie.linkablesettings,keep,No content-bearing Defs folder found (framework/library/patch-only or C#-mechanic-only) — not individually examined this pass.
dorbo.watersfx,keep,Sound-only flavor — trivial
tyrannidae.littlecritters,keep,No content-bearing Defs folder found (framework/library/patch-only or C#-mechanic-only) — not individually examined this pass.
mlie.logafterdeferror,keep,No content-bearing Defs folder found (framework/library/patch-only or C#-mechanic-only) — not individually examined this pass.
zylle.mapdesigner,keep,Referenced in an existing design doc / canon.yml — already has a documented adoption reason.
nozome.mapmodeframework,keep,No content-bearing Defs folder found (framework/library/patch-only or C#-mechanic-only) — not individually examined this pass.
m00nl1ght.mappreview,keep,No content-bearing Defs folder found (framework/library/patch-only or C#-mechanic-only) — not individually examined this pass.
udon.masslovein,keep,No content-bearing Defs folder found (framework/library/patch-only or C#-mechanic-only) — not individually examined this pass.
sirdarkelf.meaningfulencounters,keep,No content-bearing Defs folder found (framework/library/patch-only or C#-mechanic-only) — not individually examined this pass.
badoaks.meatonastick,keep,No content-bearing Defs folder found (framework/library/patch-only or C#-mechanic-only) — not individually examined this pass.
samael.npcmechsandanimals,keep,Referenced in an existing design doc / canon.yml — already has a documented adoption reason.
bonible.medievalmeleesounds,keep,No content-bearing Defs folder found (framework/library/patch-only or C#-mechanic-only) — not individually examined this pass.
mewn.medievalsigns,keep,No content-bearing Defs folder found (framework/library/patch-only or C#-mechanic-only) — not individually examined this pass.
spino.megafauna,keep,Referenced in an existing design doc / canon.yml — already has a documented adoption reason.
mlie.mercerbackpacks,keep,No content-bearing Defs folder found (framework/library/patch-only or C#-mechanic-only) — not individually examined this pass.
flangopink.metalpipe,keep,Decorative items + sounds — trivial flavor
flangopink.metalpipehorseshoe,keep,Decorative item variant — trivial flavor
andromeda.milkyway,keep,No content-bearing Defs folder found (framework/library/patch-only or C#-mechanic-only) — not individually examined this pass.
rabiosus.minesight,keep,No content-bearing Defs folder found (framework/library/patch-only or C#-mechanic-only) — not individually examined this pass.
cain.mineshaft,keep,Referenced in an existing design doc / canon.yml — already has a documented adoption reason.
erdelf.minifyeverything,keep,No content-bearing Defs folder found (framework/library/patch-only or C#-mechanic-only) — not individually examined this pass.
mlie.miningcoalertspeaker,keep,Referenced in an existing design doc / canon.yml — already has a documented adoption reason.
mlie.miningcodrillturret,keep,Referenced in an existing design doc / canon.yml — already has a documented adoption reason.
mlie.miningcomms,keep,Referenced in an existing design doc / canon.yml — already has a documented adoption reason.
mlie.miningcospaceship,keep,Referenced in an existing design doc / canon.yml — already has a documented adoption reason.
mlie.moevents,keep,No content-bearing Defs folder found (framework/library/patch-only or C#-mechanic-only) — not individually examined this pass.
hali.modifylandingtile,keep,Referenced in an existing design doc / canon.yml — already has a documented adoption reason.
kaitorisenkou.modularweapons2,keep,Referenced in an existing design doc / canon.yml — already has a documented adoption reason.
deadmano.moodalerts,keep,No content-bearing Defs folder found (framework/library/patch-only or C#-mechanic-only) — not individually examined this pass.
acutus.moodchainreaction,keep,No content-bearing Defs folder found (framework/library/patch-only or C#-mechanic-only) — not individually examined this pass.
zylle.moredangerousgame,keep,No content-bearing Defs folder found (framework/library/patch-only or C#-mechanic-only) — not individually examined this pass.
mlie.morefactioninteraction,keep,Referenced in an existing design doc / canon.yml — already has a documented adoption reason.
bichang.moresculpture,keep,No content-bearing Defs folder found (framework/library/patch-only or C#-mechanic-only) — not individually examined this pass.
garryflowers.moreslaverystuff,keep,Referenced in an existing design doc / canon.yml — already has a documented adoption reason.
zylle.morevanillabiomes,keep,No content-bearing Defs folder found (framework/library/patch-only or C#-mechanic-only) — not individually examined this pass.
tidal.morevanilla.textures,keep,No content-bearing Defs folder found (framework/library/patch-only or C#-mechanic-only) — not individually examined this pass.
morphsassorted.biotechretex,keep,No content-bearing Defs folder found (framework/library/patch-only or C#-mechanic-only) — not individually examined this pass.
mandrake.msedroidfix,keep,No content-bearing Defs folder found (framework/library/patch-only or C#-mechanic-only) — not individually examined this pass.
snobi.mutatorworldicons,keep,No content-bearing Defs folder found (framework/library/patch-only or C#-mechanic-only) — not individually examined this pass.
oblitus.mylittleplanet,keep,Referenced in an existing design doc / canon.yml — already has a documented adoption reason.
veterano.mythicages.megafaunabestiary,keep,No content-bearing Defs folder found (framework/library/patch-only or C#-mechanic-only) — not individually examined this pass.
radzerp.naturalpaths,keep,"Terrain path decor — trivial flavor, fits desert terrain work"
zylle.nightlights,keep,No content-bearing Defs folder found (framework/library/patch-only or C#-mechanic-only) — not individually examined this pass.
nightmare.core,keep,No content-bearing Defs folder found (framework/library/patch-only or C#-mechanic-only) — not individually examined this pass.
dingo.noforcedslowdown,keep,No content-bearing Defs folder found (framework/library/patch-only or C#-mechanic-only) — not individually examined this pass.
mlie.nomissinggeneicons,keep,No content-bearing Defs folder found (framework/library/patch-only or C#-mechanic-only) — not individually examined this pass.
edern.norandomapparelonideoedit,keep,No content-bearing Defs folder found (framework/library/patch-only or C#-mechanic-only) — not individually examined this pass.
jaeger972.nomadfreindlyquests,keep,Referenced in an existing design doc / canon.yml — already has a documented adoption reason.
avilmask.nonunopinata,keep,No content-bearing Defs folder found (framework/library/patch-only or C#-mechanic-only) — not individually examined this pass.
planetace.nondestructivegravlaunch,keep,No content-bearing Defs folder found (framework/library/patch-only or C#-mechanic-only) — not individually examined this pass.
mehni.numbers,keep,No content-bearing Defs folder found (framework/library/patch-only or C#-mechanic-only) — not individually examined this pass.
onimods.electrictorches,keep,No content-bearing Defs folder found (framework/library/patch-only or C#-mechanic-only) — not individually examined this pass.
