id,faction_def,faction,name,tile,lat,lon,arc,biome,why
25,Jawa_DeepwaterCompact,Deepwater Compact,Coldquay,7779,1.535,-78.931,78.9,AB_MiasmicMangrove,"the Twilight Sea, the largest standing water on Ash'karr"
26,Jawa_DeepwaterCompact,Deepwater Compact,Tidewatch,21706,31.412,86.855,87.3,Wasteland,"the Grey Sea, salt-encrusted and shrinking - they hold it anyway"
27,Jawa_HuttCartel,Hutt Cartel,Spicehead,1786,70.718,-53.323,78.6,AB_MycoticJungle,beside a near-desert oasis - the well is guarded and is NOT the town tile
28,Jawa_HuttCartel,Hutt Cartel,Sarlacc Ground,5566,-68.671,-57.513,78.7,AB_MycoticJungle,beside a near-desert oasis - the well is guarded and is NOT the town tile
29,Jawa_HuttCartel,Hutt Cartel,Itunt,15815,-65.053,-61.248,78.3,AB_MycoticJungle,beside a near-desert oasis - the well is guarded and is NOT the town tile
30,Jawa_HuttCartel,Hutt Cartel,The Yards,10116,67.161,-57.806,78.1,AB_MycoticJungle,beside a near-desert oasis - the well is guarded and is NOT the town tile
31,Jawa_HuttCartel,Hutt Cartel,Wellsong,20655,-24.328,76.868,78.1,Wasteland,beside a near-desert oasis - the well is guarded and is NOT the town tile
32,Jawa_HuttCartel,Hutt Cartel,The Tollgate,20204,-71.172,-49.174,77.8,AB_MycoticJungle,beside a near-desert oasis - the well is guarded and is NOT the town tile
33,Jawa_HuttCartel,Hutt Cartel,Bantha Cross,13457,63.192,55.92,75.4,AB_MycoticJungle,beside a near-desert oasis - the well is guarded and is NOT the town tile
34,Jawa_HuttCartel,Hutt Cartel,Greasepalm,5290,46.805,-71.269,77.3,PoisonForest,beside a near-desert oasis - the well is guarded and is NOT the town tile
35,Jawa_Junkers,the Junkers,The Fuel Works,9776,-21.563,97.117,96.6,AB_MycoticJungle,"past the terminator on the warm downwind flank, scavenging the cold swirl"
36,Jawa_Junkers,the Junkers,Cryohaul,20584,-29.068,97.661,96.7,AB_MycoticJungle,"past the terminator on the warm downwind flank, scavenging the cold swirl"
37,Jawa_Junkers,the Junkers,Ammonia Landing,11779,-7.751,96.393,96.3,ZBiome_Badlands,"past the terminator on the warm downwind flank, scavenging the cold swirl"
38,Jawa_Junkers,the Junkers,Warmside Camp,10559,-32.674,99.574,98.0,AB_MycoticJungle,"past the terminator on the warm downwind flank, scavenging the cold swirl"
39,Jawa_Junkers,the Junkers,Bonepick Station,5456,40.647,98.795,96.7,AB_RockyCrags,"past the terminator on the warm downwind flank, scavenging the cold swirl"
40,Jawa_Junkers,the Junkers,Tailings End,6654,0.0,68.941,68.9,ZBiome_Badlands,squatting the worked-out mining fields the Geonosians did not finish
41,Jawa_Junkers,the Junkers,The Slagfield,3221,-6.691,69.834,70.0,Desert,squatting the worked-out mining fields the Geonosians did not finish
42,Jawa_Junkers,the Junkers,The Claim Jump,3226,6.691,69.834,70.0,Wasteland,squatting the worked-out mining fields the Geonosians did not finish
43,Jawa_IndigenousTribes,Jawa Trade Moot,The Ore Moot,1612,-9.659,59.106,59.6,Desert,the crawler circuit's anchor: the mine the sandcrawlers were stolen from
44,Jawa_IndigenousTribes,Jawa Trade Moot,Crawler Ground,21667,30.403,79.117,80.6,Wasteland,canyon fortresses and crawler circuit nodes across the near-desert
45,Jawa_IndigenousTribes,Jawa Trade Moot,Ridge Cache,8898,12.254,78.148,78.4,ZBiome_Badlands,canyon fortresses and crawler circuit nodes across the near-desert
46,Jawa_IndigenousTribes,Jawa Trade Moot,Wreck Circuit,21767,19.143,78.862,79.5,Wasteland,canyon fortresses and crawler circuit nodes across the near-desert
47,Jawa_IndigenousTribes,Jawa Trade Moot,Sandmoot,6678,9.134,75.864,76.0,ZBiome_Badlands,canyon fortresses and crawler circuit nodes across the near-desert
48,Jawa_IndigenousTribes,Jawa Trade Moot,The Bartering Rock,11830,8.341,-74.677,74.8,Desert,canyon fortresses and crawler circuit nodes across the near-desert
49,Jawa_IndigenousTribes,Jawa Trade Moot,Tin Camp,20705,-17.375,73.579,74.3,Wasteland,canyon fortresses and crawler circuit nodes across the near-desert
50,TribeCivil,Deep Desert Tribes,Duneward,19566,43.334,64.808,72.0,ZBiome_Grasslands,"the near-desert: canyons, caves and isolated ridges, and never a water tile"
51,TribeCivil,Deep Desert Tribes,Stone Moot,5355,57.565,62.65,75.7,ZBiome_Grasslands,"the near-desert: canyons, caves and isolated ridges, and never a water tile"
52,TribeCivil,Deep Desert Tribes,Redscarp,10282,47.172,65.533,73.6,ZBiome_Grasslands,"the near-desert: canyons, caves and isolated ridges, and never a water tile"
53,TribeCivil,Deep Desert Tribes,The Dry Moot,13537,37.153,71.487,75.3,ZBiome_Grasslands,"the near-desert: canyons, caves and isolated ridges, and never a water tile"
54,TribeCivil,Deep Desert Tribes,Barno,15626,52.472,66.014,75.7,ZBiome_Grasslands,"the near-desert: canyons, caves and isolated ridges, and never a water tile"
55,TribeCivil,Deep Desert Tribes,The Long Camp,5433,39.811,67.507,72.9,ZBiome_Grasslands,"the near-desert: canyons, caves and isolated ridges, and never a water tile"
56,TribeCivil,Deep Desert Tribes,Ashfoot,13541,34.536,75.305,77.9,ZBiome_Grasslands,"the near-desert: canyons, caves and isolated ridges, and never a water tile"
57,TribeCivil,Deep Desert Tribes,Knife Canyon,15100,-0.759,-75.104,75.1,Desert,"the near-desert: canyons, caves and isolated ridges, and never a water tile"
58,TribeCivil,Deep Desert Tribes,The Blind Wells,21669,29.986,72.973,75.3,Desert,"the near-desert: canyons, caves and isolated ridges, and never a water tile"
59,OutlanderCivil,Homestead Defense League,Dewhome,15850,-47.634,-72.997,78.6,ZBiome_DesertOasis,"the arable margin of the terminator - vaporators, aquifers, and no source"
60,OutlanderCivil,Homestead Defense League,Condenser Flats,3044,-55.554,-69.608,78.6,ZBiome_DesertOasis,"the arable margin of the terminator - vaporators, aquifers, and no source"
61,OutlanderCivil,Homestead Defense League,Bell Cistern,10435,-59.23,-67.073,78.5,ZBiome_DesertOasis,"the arable margin of the terminator - vaporators, aquifers, and no source"
62,OutlanderCivil,Homestead Defense League,Mistcatch,7907,-51.946,-72.132,79.1,ZBiome_DesertOasis,"the arable margin of the terminator - vaporators, aquifers, and no source"
63,OutlanderCivil,Homestead Defense League,Stillmarket,15818,-62.946,-69.567,80.9,ZBiome_DesertOasis,"the arable margin of the terminator - vaporators, aquifers, and no source"
64,OutlanderCivil,Homestead Defense League,Rainshadow,15827,-58.456,-73.901,81.7,ZBiome_DesertOasis,"the arable margin of the terminator - vaporators, aquifers, and no source"
65,OutlanderCivil,Homestead Defense League,Vaporfall,8266,70.352,-41.856,75.5,ZBiome_DesertOasis,"the arable margin of the terminator - vaporators, aquifers, and no source"
66,OutlanderCivil,Homestead Defense League,Longfurrow,15830,-54.839,-75.978,82.0,ZBiome_DesertOasis,"the arable margin of the terminator - vaporators, aquifers, and no source"
67,OutlanderCivil,Homestead Defense League,Cistern Hill,20652,-23.783,81.285,82.0,Wasteland,"the arable margin of the terminator - vaporators, aquifers, and no source"
68,OutlanderCivil,Homestead Defense League,Greenline,10429,-65.18,-52.222,75.1,ZBiome_DesertOasis,"the arable margin of the terminator - vaporators, aquifers, and no source"
69,OutlanderCivil,Homestead Defense League,The Dripworks,8630,-70.544,-37.536,74.7,ZBiome_DesertOasis,"the arable margin of the terminator - vaporators, aquifers, and no source"
70,OutlanderCivil,Homestead Defense League,Marrowfield,1429,-51.31,-78.237,82.7,ZBiome_DesertOasis,"the arable margin of the terminator - vaporators, aquifers, and no source"
71,OutlanderCivil,Homestead Defense League,Aquifer Station,13478,56.229,56.053,71.9,ZBiome_DesertOasis,"the arable margin of the terminator - vaporators, aquifers, and no source"
